Date,Aircraft,Origin,Destination,Takoff,Landing,Duration,Gate Departure,Gate Arrival,Schedule_gd,Scheduled_ga,Is Weekend,Is Holiday,Delay (min),Is Delayed,dep_Blowing Snow,arr_Blowing Snow,dep_Clear,arr_Clear,dep_Cloudy,arr_Cloudy,dep_Drizzle,arr_Drizzle,dep_Fog,arr_Fog,dep_Freezing Drizzle,arr_Freezing Drizzle,dep_Freezing Fog,arr_Freezing Fog,dep_Mainly Clear,arr_Mainly Clear,dep_Moderate Rain,arr_Moderate Rain,dep_Moderate Snow,arr_Moderate Snow,dep_Mostly Cloudy,arr_Mostly Cloudy,dep_Rain,arr_Rain,dep_Rain Showers,arr_Rain Showers,dep_Snow,arr_Snow,dep_Snow Grains,arr_Snow Grains,dep_Snow Showers,arr_Snow Showers
2024-12-29,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:33PM NST,08:15PM EST,3:12:00,06:06PM NST,09:19PM EST,05:25PM NST,07:48PM EST,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2024-12-28,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:34PM NST,07:24PM EST,3:19:00,05:22PM NST,07:31PM EST,05:25PM NST,07:48PM EST,1,0,-17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-27,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:04PM NST,08:42PM EST,3:07:00,06:40PM NST,09:14PM EST,05:25PM NST,07:48PM EST,0,0,86,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-26,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:08PM NST,07:34PM EST,2:55:00,05:39PM NST,07:41PM EST,05:25PM NST,07:48PM EST,0,1,-7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-12-25,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:41PM NST,07:10PM EST,2:59:00,05:24PM NST,07:19PM EST,05:25PM NST,07:48PM EST,0,1,-29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-24,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:43PM NST,07:13PM EST,2:59:00,05:30PM NST,07:31PM EST,05:25PM NST,07:48PM EST,0,0,-17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-23,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:09PM NST,08:02PM EST,3:23:00,05:40PM NST,08:15PM EST,05:25PM NST,07:48PM EST,0,0,27,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-22,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:13PM NST,07:43PM EST,3:00:00,05:29PM NST,07:53PM EST,05:25PM NST,07:48PM EST,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2024-12-21,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:42PM NST,07:23PM EST,3:10:00,05:28PM NST,07:31PM EST,05:25PM NST,07:48PM EST,1,0,-17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-12-20,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:35PM NST,08:29PM EST,3:24:00,06:03PM NST,08:45PM EST,05:25PM NST,07:48PM EST,0,0,57,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
